OU_NAME,TOTAL_AMOUNT_USD,Season Split Year Grouping,Season Split Sort,Fiscal Year
DAKINE EQUIPMENT LLC. (OU),97.20,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),54.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),72.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),90.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),72.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),21.60,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),112.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),67.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),112.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),900.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),32.40,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),64.80,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),36.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),72.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),54.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),108.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),60.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),17.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),35.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),23.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),23.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),23.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),28.49,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),28.49,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),28.49,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),28.49,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),70.38,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),30.16,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),90.49,2025,016,2026
